Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
65, 67108864, 1, 1, 64, 11.9198, 16.7226, N/A, 0.849733, 350.849, 6890.5, 108.384, 256, 256, 64, 1, 4, 4, 14.1265, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 64, 11.9198, 16.7226, N/A, 0.849733, 350.849, 6890.5, 108.384, 256, 256, 4, 1, 4, 4, 14.1265, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 64, 11.9198, 16.7226, N/A, 0.849733, 350.849, 6890.5, 108.384, 256, 256, 4, 1, 4, 4, 14.1265, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 64, 11.3706, 4.29836, N/A, 0.841329, 7.92213, 13448.5, 287.289, 512, 512, 4, 1, 2, 8, 5.80094, 4, 4, 64, 64, 1, 1, 77.2354, 
65, 67108864, 1, 1, 64, 11.3706, 4.29836, N/A, 0.804961, 7.89714, 13210.5, 263.938, 512, 512, 4, 1, 2, 8, 5.80094, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 64, 11.3706, 4.29836, N/A, 0.804961, 7.89714, 13210.5, 263.938, 512, 512, 4, 1, 2, 8, 5.80094, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 67108864, 1, 1, 64, 11.3706, 4.29836, N/A, 0.841329, 7.92213, 13448.5, 287.289, 512, 512, 4, 1, 2, 8, 5.80094, 4, 4, 64, 64, 1, 1, 77.2354, 
65, 67108864, 1, 1, 64, 11.3706, 4.29836, N/A, 0.841329, 7.92213, 13448.5, 287.289, 512, 512, 4, 1, 2, 8, 5.80094, 4, 4, 64, 64, 1, 1, 77.2354, 
65, 67108864, 1, 1, 64, 11.3706, 4.29836, N/A, 0.841329, 7.92213, 13448.5, 287.289, 512, 512, 4, 1, 2, 8, 5.80094, 4, 4, 64, 64, 1, 1, 77.2354, 
65, 67108864, 1, 1, 64, 11.3706, 4.29836, N/A, 0.804961, 7.89714, 13210.5, 263.938, 512, 512, 4, 1, 2, 8, 5.80094, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
